iter	Passed	Remaining
638	18728	10580
639	18751	10547
640	18771	10513
641	18792	10479
642	18813	10445
643	18833	10410
644	18851	10375
645	18871	10341
646	18891	10306
647	18910	10272
648	18930	10238
649	18951	10204
650	18975	10172
651	18995	10138
652	19016	10105
653	19036	10071
654	19058	10038
655	19081	10006
656	19103	9973
657	19123	9939
658	19143	9905
659	19164	9872
660	19183	9838
661	19204	9805
662	19230	9774
663	19252	9742
664	19275	9710
665	19297	9677
666	19319	9645
667	19340	9612
668	19359	9578
669	19379	9545
670	19399	9511
671	19419	9478
672	19438	9445
673	19458	9411
674	19479	9379
675	19500	9346
676	19521	9313
677	19541	9280
678	19561	9247
679	19581	9214
680	19601	9181
681	19621	9149
682	19641	9115
683	19660	9083
684	19680	9050
685	19702	9018
686	19724	8986
687	19748	8955
688	19771	8924
689	19791	8891
690	19813	8860
691	19839	8830
692	19861	8798
693	19885	8767
694	19912	8738
695	19932	8706
696	19954	8674
697	19976	8643
698	19998	8611
699	20018	8579
700	20038	8547
701	20057	8514
702	20077	8482
703	20097	8450
704	20117	8418
705	20137	8385
706	20156	8353
707	20176	8321
708	20196	8289
709	20220	8258
710	20240	8227
711	20259	8195
712	20279	8163
713	20299	8131
714	20322	8100
715	20342	8068
716	20365	8038
717	20385	8006
718	20406	7975
719	20427	7944
720	20447	7912
721	20467	7880
722	20488	7849
723	20510	7818
724	20533	7788
725	20553	7757
726	20574	7725
727	20595	7694
728	20616	7663
729	20636	7632
730	20658	7601
731	20679	7571
732	20700	7540
733	20722	7509
734	20742	7478
735	20762	7447
736	20783	7416
737	20803	7385
738	20822	7354
739	20844	7323
740	20864	7292
741	20886	7262
742	20905	7231
743	20928	7201
744	20951	7171
745	20973	7141
746	20996	7111
747	21016	7080
748	21037	7049
749	21057	7019
750	21077	6988
751	21098	6957
752	21119	6927
753	21143	6898
754	21168	6869
755	21191	6839
756	21211	6809
757	21232	6778
758	21252	6748
759	21273	6717
760	21293	6687
761	21315	6657
762	21337	6627
763	21359	6597
764	21381	6568
765	21417	6542
766	21437	6512
767	21461	6483
768	21484	6453
769	21507	6424
770	21529	6394
771	21551	6365
772	21576	6336
773	21600	6307
774	21624	6278
775	21647	6248
776	21669	6219
777	21691	6189
778	21715	6160
779	21736	6130
780	21757	6100
781	21775	6070
782	21798	6041
783	21819	6011
784	21839	5981
785	21857	5951
786	21879	5921
787	21900	5892
788	21922	5862
789	21942	5832
790	21962	5802
791	21981	5772
792	22002	5743
793	22022	5713
794	22042	5683
795	22063	5654
796	22082	5624
797	22102	5594
798	22121	5564
799	22141	5535
800	22162	5506
801	22183	5476
802	22205	5447
803	22229	5419
804	22251	5390
805	22272	5360
806	22292	5331
807	22312	5302
808	22334	5272
809	22356	5244
810	22378	5215
811	22401	5186
812	22422	5157
813	22445	5128
814	22467	5099
815	22490	5071
816	22511	5042
817	22532	5013
818	22552	4984
819	22574	4955
820	22595	4926
821	22616	4897
822	22637	4868
823	22657	4839
824	22680	4811
825	22705	4782
826	22728	4754
827	22754	4726
828	22777	4698
829	22800	4669
830	22823	4641
831	22847	4613
832	22870	4585
833	22893	4556
834	22916	4528
835	22939	4500
836	22964	4472
837	22986	4443
838	23011	4415
839	23034	4387
840	23057	4359
841	23080	4331
842	23103	4302
843	23126	4274
844	23149	4246
845	23173	4218
846	23196	4190
847	23221	4162
848	23243	4134
849	23266	4105
850	23290	4077
851	23313	4049
852	23335	4021
853	23359	3993
854	23381	3965
855	23404	3937
856	23427	3909
857	23449	3881
858	23473	3852
859	23496	3825
860	23518	3796
861	23541	3768
862	23565	3740
863	23588	3712
864	23611	3685
865	23637	3657
866	23660	3629
867	23684	3601
868	23706	3573
869	23729	3545
870	23755	3518
871	23778	3490
872	23801	3462
873	23825	3434
874	23848	3406
875	23871	3379
876	23894	3351
877	23917	3323
878	23941	3295
